,시군명,식당,식당_영문명,최후의음식,위도,경도
2398,의정부시,쿠우쿠우 의정부점,kuukuu uijeongbujeom,0,37.7423182,127.0501815
2399,의정부시,(주)오뎅식당,(ju)odengsigdang,0,37.7440123,127.049377
2400,의정부시,정수사,jeongsusa,0,37.7375382,127.0385727
2401,의정부시,팔가(八家),palga(palga),"짜장면, 짬뽕",37.7421572,127.0470954
2402,의정부시,청사초롱,eomjiminmulmaeuntang,0,37.7498756,127.0716203
2403,의정부시,허기숙할머니원조오뎅식당별관,heogisughalmeoniwonjoodengsigdangbyeolgwan,0,37.7443457,127.0493432
2404,의정부시,양촌리,yangchonli,갈비구이,37.7243464,127.0439883
2405,의정부시,해랑,byeongcheonsundaenajugomtang,삼계탕,37.746985,127.0692122
2406,의정부시,의정부동오부대찌개,uijeongbudong-obudaejjigae,0,37.7446488,127.0568204
2407,의정부시,명가해물찜.칼국수,myeong-gahaemuljjim.kalgugsu,칼국수,37.7356573,127.0874781
2408,의정부시,큰집갈비,keunjibgalbi,갈비구이,37.7194892,127.0469005
2409,의정부시,이바돔의정부점,ibadom-uijeongbujeom,감자탕,37.7298243,127.0438438
2410,의정부시,이바돔감자탕(의정부점),ibadomgamjatang(uijeongbujeom),감자탕,37.7298243,127.0438438
2411,의정부시,황소부대찌개,hwangsobudaejjigae,0,37.740205,127.0902856
2412,의정부시,고산떡갈비,gosantteoggalbi,떡갈비,37.7502631,127.0715979
2413,의정부시,밤나무집,bamnamujib,삼계탕,37.699078,127.0574563
2414,의정부시,지동관,jidong-gwan,"짜장면, 짬뽕",37.7399855,127.0480471
2415,의정부시,고수,,"짜장면, 짬뽕",37.7141552,127.047816
2416,의정부시,해소반,haesoban,산낙지,37.7315977,127.0820625
2417,의정부시,서울식당,seoulsigdang,제육볶음,37.7467872,127.0684859
2418,의정부시,아사랑,asalang,"짜장면, 짬뽕",37.7375113,127.0380962
2419,의정부시,주식회사 바를정에프씨식후경지점,jusighoesa baleuljeong-epeussisighugyeongjijeom,삼겹살,37.7532383,127.0678448
2420,의정부시,맛찬들 왕소금구이,maschandeul wangsogeumgu-i,갈비구이,37.7451282,127.0969288
2421,의정부시,만두예찬 금오점,manduyechan geum-ojeom,0,37.7512643,127.069511
2422,의정부시,웨딩플로체 뷔페,wedingpeulloche bwipe,0,37.733985,127.0483725
2423,의정부시,형제닭갈비,hyeongjedalg-galbi,닭갈비,37.7448244,127.0936267
